"notificationId","recipientUserId","message","type","relatedItemId","isRead","createdAt","triggeringUserId"
NOTIF001f1126-3956-4478-9930-50b59346196a,U44e439a65198b59320c82237de56b635,มลฤดี พรมจินดา ได้แสดงความคิดเห็นบนรายงานของคุณ,comment,SUBa5e2bd55-c147-42f8-9518-3ef51d2d75f5,0,"2025-09-12 04:53:39",
NOTIF003e65da-f927-40d9-a2ee-3ae753d41748,U463d6c75321700740b8093575d6aaaf3,ชัญญาภัส คำสมศรี ได้แสดงความคิดเห็นบนรายงานของคุณ,comment,SUBc420556c-676e-41ae-9d0a-ae5d69053296,1,"2025-09-11 01:15:12",
NOTIF0042caa8-e384-40d3-b3aa-aabb74656fac,U3f08e5c27ff57004358e74657c179dfb,ทิพวัลย์ พรมอาสา ได้กดไลค์รายงานของคุณ,like,SUBd6d03fef-47be-497f-973b-bd85db0c3e7c,1,"2025-09-11 05:43:45",
NOTIF00576144-f7d8-4e4a-aac1-973d5a5b089c,U92bc31e9a59a7fd8cf56cd9f216cb062,ชลธิชา วัฒนโชติ ได้แสดงความคิดเห็นบนรายงานของคุณ,comment,SUB29e3065b-2732-4ac7-8744-a0b3369b6bc3,0,"2025-09-12 12:12:36",
NOTIF00910cce-0cb1-40c0-9d1f-87760184f27b,U88704d91895362474691e3314db1e44f,ชลธิชา วัฒนโชติ ได้แสดงความคิดเห็นบนรายงานของคุณ,comment,SUB3ec197d7-38e5-4592-a984-fdba638c4be0,0,"2025-09-12 12:33:26",
NOTIF00a31a6f-756d-47f9-8200-b733d7cfce30,U26dc7ee55dde44e859ab6a4ea32d0194,สัตยา วงศ์ชมภู ได้กดไลค์รายงานของคุณ,like,SUB33a2c4b1-d6a5-427d-8b89-1b23087966ca,0,"2025-09-11 10:27:26",
NOTIF00aa6801-1388-4cff-8497-ed22e0e41ef0,Ua6166688603926b5ecb49f220e1d3cb7,ปราณี คงประสิทธิ์ ได้แสดงความคิดเห็นบนรายงานของคุณ,comment,SUBb01ab325-4542-4744-ab17-8e91b45aff7c,0,"2025-09-12 07:48:27",
NOTIF00b03910-8aab-4518-8353-3fe952d856c5,U463d6c75321700740b8093575d6aaaf3,ทิพวัลย์ พรมอาสา ได้แสดงความคิดเห็นบนรายงานของคุณ,comment,SUBc420556c-676e-41ae-9d0a-ae5d69053296,1,"2025-09-11 05:39:05",
NOTIF00ce8175-5051-4098-b3a7-22ea49e3d8ac,U19e9a06e02b09e71fa5c984a6a410467,ชัญญาภัส คำสมศรี ได้กดไลค์รายงานของคุณ,like,SUB94f8d159-4d9b-474e-869c-19f7493c6424,0,"2025-09-13 00:48:34",
NOTIF00d8a33f-fb23-4a08-b522-18b3aec97603,U8ba20738b9edb277bb4f99f6455d3982,สุมนทา ไร่เจริญ ได้กดไลค์รายงานของคุณ,like,SUB467deb94-a450-4a30-a2ba-027ec49d16a4,1,"2025-09-11 09:32:47",
NOTIF00e7aeb7-74ff-42b8-8d26-46bffd15e0cc,Ue5c1890274f83598abc3f31c532e446f,ชัยวัฒน์ แก้วขาว ได้กดไลค์รายงานของคุณ,like,SUBd5ab5d0d-e978-486e-a847-458f895ee0b9,0,"2025-09-11 09:03:05",
NOTIF0100d252-900d-405d-9e54-1dcd1ab1a547,U9385e759d7c6eb3f001317f8d640fdad,ปราณี คงประสิทธิ์ ได้กดไลค์รายงานของคุณ,like,SUB22d117a1-e83c-482f-b102-cfc1ca0c4a6e,1,"2025-09-12 07:52:10",
